name,online_order,book_table,rate,votes,location,rest_type,dish_liked,cuisines,approx_cost(for two people),listed_in(type),listed_in(city)
Wazir's,Yes,No,3.3/5,261,Shanti Nagar,Casual Dining,"Biryani, Butter Chicken, Butter Naan, Kalmi Kebab, Roti, Rolls, Fried Rice","North Indian, Chinese",500,Delivery,Basavanagudi
Krispy Kreme,Yes,No,4.0/5,253,Jayanagar,Dessert Parlor,"Coffee, Chocolate Donut, Chocolate Dreamcake, Cookie Crunch, Double Chocolate Cake, Hot Chocolate","Desserts, Beverages",300,Delivery,Basavanagudi
Udupi Upahar,Yes,No,3.8/5,58,Banashankari,Quick Bites,,"South Indian, Chinese, North Indian, Juices",300,Delivery,Basavanagudi
Kababs N Biryani,Yes,No,3.4/5,22,Banashankari,Quick Bites,,South Indian,200,Delivery,Basavanagudi
Madeena Hotel,Yes,No,3.9/5,50,Bannerghatta Road,Quick Bites,,"North Indian, Mughlai, Biryani",400,Delivery,Basavanagudi
Roti Ghar,Yes,No,3.9/5,750,Basavanagudi,Casual Dining,"Coffee, Spring Roll, Roti, Panneer Butter Masala, Noodles, Butter Naan, Masala Dosa","North Indian, Chinese, South Indian",500,Delivery,Basavanagudi
Marenahalli Donne Biriyani,Yes,No,3.9/5,259,JP Nagar,Quick Bites,,"Biryani, Fast Food",300,Delivery,Basavanagudi
Onesta,Yes,Yes,4.6/5,2556,Banashankari,"Casual Dining, Cafe","Farmhouse Pizza, Chocolate Banana, Virgin Mojito, Pasta, Paneer Tikka, Lime Soda, Prawn Pizza","Pizza, Cafe, Italian",600,Delivery,Basavanagudi
Namma Brahmin's Idli,Yes,No,3.6/5,34,Jayanagar,Quick Bites,,South Indian,100,Delivery,Basavanagudi
Keventers,Yes,No,3.9/5,210,Jayanagar,"Beverage Shop, Dessert Parlor","Thick Shakes, Chocolate Hazelnut Shake, Mango Shake, Choco Hazelnut, Milk Shake, Chocolate Oreo, Strawberry Milkshake","Desserts, Beverages, Ice Cream",400,,
 which was much costlier. Overhyped for no reason, and no value for money, too costly for a 200ml bottle of milkshake. I would not recommend this place to anyone," there are much better options to go for."""")", ('Rated 3.0', liked coffee above.\nwont recommend as such .better places for shakes.\n\nhowevee its heavy enough to fill your stomach'), ('Rated 3.5', 'RATED\n  Ambience 6/10\nFood/taste 9/10\nService 9/10\nQuality 9/10\nQuantity 7/10\n\nIts not their fault that the place so noisy. But in jayanagar they could have chosen a better and cool place for an outlet.\nOther than sorrounding, everything is great.\nI have tried nearly 6 flavours of shakes and they really taste so good. They have original flavour of ingredients in every milkshake. Particularly the ALFONSO MANGO... Ssly too good guys you must try it atleast once.\nStaff,service and quality is really great. But cost is disappointing factor. Quite more than the limit. Just for a fancy bottle and good quality they are charging you 300 doesnot seems fair enough...\nBut overall a good shop to visit (not regularly but occasionally).'), The almond rose was one of the best tasting thick shakes, I have also heard a lot about the caramelo popcorn/ Kesar madam......this was too good
Polar Bear,Yes,No,3.8/5,71,Basavanagudi,Dessert Parlor,Hot Chocolate Fudge,"Ice Cream, Desserts, Beverages, Sandwich",400,Delivery,Basavanagudi
Behrouz Biryani,Yes,No,3.9/5,230,Banashankari,Delivery,"Raita, Gulab Jamun, Paneer Biryani, Vegetable Biryani, Gosht Dum Biryani, Chicken Biryani, Murgh Biryani",Biryani,650,Delivery,Basavanagudi
Namma Banashankari Donne Biryani,Yes,No,4.0/5,94,JP Nagar,Quick Bites,,"Biryani, Kebab",250,Delivery,Basavanagudi
Puliyogare Point,Yes,No,4.2/5,444,Basavanagudi,Quick Bites,"Sweet Pongal, Mini Idlis, Filter Coffee, Open Masala Dosa, Pakoda, Vada, Raagi Dosa",South Indian,100,Delivery,Basavanagudi
Kedia's Fun Food,Yes,No,4.3/5,630,Jayanagar,Quick Bites,"Paratha, Vada Pav, Chaat, Pav Bhaji, Panipuri, Masala Poori, Dhokla","North Indian, Street Food, Juices",200,Delivery,Basavanagudi
Sri Udupi Food Hub,Yes,Yes,4.1/5,175,Jayanagar,Casual Dining,"Filter Coffee, Masala Dosa, Idli, Vada","South Indian, North Indian, Chinese, Beverages",500,Delivery,Basavanagudi
Udupi Ruchi,Yes,No,3.9/5,57,Banashankari,Quick Bites,,"South Indian, North Indian, Chinese, Street Food",200,Delivery,Basavanagudi
Donne Biriyani House,Yes,No,3.9/5,441,Banashankari,Quick Bites,Biryani,"South Indian, North Indian, Chinese, Biryani",400,Delivery,Basavanagudi
Banashankari Donne Biriyani,Yes,No,3.8/5,104,Banashankari,Quick Bites,,"Biryani, Fast Food",300,Delivery,Basavanagudi
Dadi's Dum Biryani,Yes,Yes,4.1/5,2723,BTM,Casual Dining,"Butter Chicken, Panner Tikka, Chicken Biryani, Chicken Lollipop, Chicken Tikka Masala, Dum Biryani, Tangdi Kabab","Biryani, North Indian, Mughlai",800,Delivery,Basavanagudi
Pizza Hut,Yes,No,3.8/5,693,Banashankari,Casual Dining,"Supreme Pizza, Potato Wedges, Masala Lemonade, Tandoori Paneer, Exotic Garlic Bread","Pizza, Fast Food",750,Delivery,Basavanagudi
Bhattara Bhojana,Yes,No,3.6/5,66,Banashankari,Quick Bites,,South Indian,150,Delivery,Basavanagudi
Meghana Foods,Yes,No,4.4/5,4401,Jayanagar,Casual Dining,"Chicken Boneless Biryani, Hyderabadi Biryani, Paneer Biryani, Tandoori Chicken, Vegetable Biryani, Chicken Kebab, Raita","Biryani, North Indian, Chinese",600,Delivery,Basavanagudi
Kabab Mehal,Yes,No,3.7/5,65,JP Nagar,Quick Bites,,"Kebab, North Indian, Fast Food, Beverages",400,Delivery,Basavanagudi
Ovenstory Pizza,Yes,No,3.9/5,172,Banashankari,Delivery,"Paneer Tikka, Garlic Bread, Thin Crust Pizza, Falafel, Veggie Pizza",Pizza,750,Delivery,Basavanagudi
Chicken County Grand,Yes,No,3.9/5,319,Bannerghatta Road,Casual Dining,"Chicken Grill, Fish, Shawarma, Rolls, Tandoori Chicken, Hyderabadi Chicken, Chicken Roll","North Indian, Chinese",650,Delivery,Basavanagudi
Sweet Truth,Yes,No,3.9/5,35,Banashankari,Delivery,,"Bakery, Desserts",500,Delivery,Basavanagudi
Prasiddhi Food Corner,Yes,No,3.7/5,170,JP Nagar,Quick Bites,Coffee,"Fast Food, North Indian, South Indian",200,,
" """"RATED\n  The ideal quick bite place. All items are reasonably priced. The food doesn't stand out"," but service is quick and no nonsense.\nI usually order Roti Curry or Masala Dosa. Usually in and out in under 20mins"""")", ('Rated 5.0', 'RATED\n  awesome place .... and good sitting'), ('Rated 4.0', delicious south Indian dishes. The chats are priced conservatively and the quantity they give you is huge. Have tried almost everything on the menu and everything tastes good. The place has the self service concept, the management is efficient and the place is hygienic.'), ('Rated 4.5', 'RATED\n  one of the cheap and best food joint in this area. had been twice here and really liked the food. have tried chole bhature, south meals, ('Rated 3.5'," """"RATED\n  Food is good especially for the price... Don't get dosa in the afternoons which is a bit sad"
Fresh Kitchen,Yes,No,3.4/5,13,Bannerghatta Road,Casual Dining,,"North Indian, Chinese",600,Delivery,Basavanagudi
Chai Point,Yes,No,3.2/5,208,Jayanagar,"Beverage Shop, Quick Bites","Ginger Chai, Ginger Tea, Banana Cake, Samosa, Masala Chai, Banana Walnut","Tea, Beverages, Fast Food",250,Delivery,Basavanagudi
Twiststick House,Yes,No,4.1/5,163,Basavanagudi,Quick Bites,"White Pasta, Noodles, Babycorn Manchurian, Pizza, Veg Momos, Fry Momos, Tawa Pulav","Continental, Fast Food, Street Food, Momos",500,Delivery,Basavanagudi
Starlite Bakery & Fastfood,Yes,No,3.7/5,23,Jayanagar,Quick Bites,,"North Indian, Chinese, Rolls, Bakery, Arabian, Charcoal Chicken, Desserts",300,Delivery,Basavanagudi
Wahab,Yes,No,3.7/5,97,Jayanagar,Quick Bites,"Chicken Biryani, Rolls","North Indian, Mughlai, Chinese",350,Delivery,Basavanagudi
Faasos,Yes,No,4.2/5,415,Banashankari,Quick Bites,"Rolls, Veggie Wrap, Chocolate Fantasy, Rice Bowls, Chicken Rice, Paneer Makhanwala, Chicken Tikka Wrap","North Indian, Biryani, Fast Food",500,Delivery,Basavanagudi
Grazers,Yes,Yes,3.9/5,291,Jayanagar,Cafe,"Burgers, Panneer Butter Masala, Pasta, Hot Dog, Fries, Cheesy Pizza, Potato Wedges","Cafe, Burger, Continental, Italian, Desserts",650,Delivery,Basavanagudi
Szechuan Dragon,Yes,No,4.2/5,1647,Banashankari,Casual Dining,"Noodles, Momos, Veg Manchow Soup, Kung Pao Chicken, Chicken Lollipop, Chop Suey, Dragon Chicken","Chinese, Thai, Momos",600,Delivery,Basavanagudi
Patio 805,Yes,Yes,4.1/5,364,Jayanagar,Casual Dining,"Noodles, Laksa Soup, Coffee, Veg Fritters, Vegetarian, Babycorn Manchurian, Mango Salad","Thai, Vietnamese, Asian, Chinese",1200,Delivery,Basavanagudi
Janahaar,Yes,No,3.8/5,70,Banashankari,Quick Bites,"Masala Dosa, Idli, Filter Coffee, Medu Dosa",South Indian,100,Delivery,Basavanagudi
Juicy Momos,Yes,No,3.5/5,80,Banashankari,Quick Bites,"Rolls, Burgers, Juicy Momos, Chicken Momo, Chocolate Momos, Mushroom Momo, Paneer Momos","Tibetan, Momos",250,Delivery,Basavanagudi
Gama Gama,Yes,No,3.9/5,264,Banashankari,Quick Bites,"Jowar Roti, Buttermilk, Sabudana Vada, Thali, Mirchi Bajji, Brinjal Curry",South Indian,200,Delivery,Basavanagudi
Upahara Darshini,Yes,No,4.0/5,166,Jayanagar,Quick Bites,"Vada, Coffee, Masala Dosa, Gulab Jamun, Roti, Idli, Tomato Soup","South Indian, North Indian, Chinese",400,Delivery,Basavanagudi
Bangalore Agarwal Bhavan,Yes,No,3.9/5,134,Jayanagar,Quick Bites,"Paratha, Coffee, Halwa, Lassi","Street Food, North Indian, South Indian",400,Delivery,Basavanagudi
Just Thindi,Yes,No,3.6/5,16,Basavanagudi,Quick Bites,,South Indian,200,Delivery,Basavanagudi
SLV Corner Restaurant,Yes,No,4.1/5,364,Basavanagudi,Casual Dining,"Masala Dosa, Filter Coffee, Maddur Vada, Curd Vadai, Onion Dosa, Upma, Sunday Breakfast","South Indian, Chinese, North Indian, Street Food, Rolls, Juices",550,Delivery,Basavanagudi
Tummy Fuel,Yes,No,4.2/5,449,Jayanagar,Cafe,"Sandwiches, Salads, Panipuri, Gol Gappe, Pizza Sandwich, Cheesy Pizza, Pancakes","Cafe, Beverages, Fast Food",400,Delivery,Basavanagudi
XO Belgian Waffle,Yes,No,3.9/5,56,Basavanagudi,Dessert Parlor,"Waffles, Nutella Waffle, Thick Shakes","Desserts, Beverages",400,Delivery,Basavanagudi
Kanti Sweets,Yes,No,3.9/5,148,Jayanagar,Quick Bites,"Rasmalai, Kaju Katli, Paratha, Pav Bhaji, Badam Milk, Rasgulla, Dhokla","Mithai, Street Food",400,Delivery,Basavanagudi
Firangi Bake,Yes,No,4.0/5,53,Banashankari,Delivery,"Minced Chicken Lasagne, Chicken Steak","Mexican, Italian",600,Delivery,Basavanagudi
Vinny's,Yes,Yes,4.2/5,2115,Banashankari,Casual Dining,"Pizza, Pasta, Garlic Bread, Nachos, Penne Alfredo, Mozzarella Sticks, Salad","Pizza, Italian, Continental, Desserts",800,Delivery,Basavanagudi
Pani Kum Chai,Yes,No,3.9/5,67,Jayanagar,Quick Bites,"Chai, Lemon Tea, Chicken Roll",Fast Food,200,Delivery,Basavanagudi
Mini Punjabi Dhaba,Yes,No,4.2/5,287,Banashankari,Quick Bites,"Panneer Butter Masala, Lassi, Paratha, Jeera Rice, Paneer Parantha, Bhindi Fry, Veg Kolhapuri",North Indian,350,Delivery,Basavanagudi
Matru Sagar,Yes,No,3.6/5,84,Banashankari,Quick Bites,"Coffee, Masala Dosa","South Indian, North Indian, Chinese",250,Delivery,Basavanagudi
Stories,Yes,Yes,4.2/5,2171,JP Nagar,"Pub, Casual Dining","Cocktails, Pizza, Fries, Pasta, Chicken Sizzler, Mocktails, Long Island Iced Tea","American, Chinese, Continental, North Indian",1200,,
 i was really happy about it and im sure you will be happy with that service too.'), ('Rated 4.0'," """"RATED\n  Stories is one of the most happening pubs in Bangalore. I went there with a group of friends for a relaxed lunch after my tests. The food was great! We ordered quite a lot ? but the service was slow and half the things weren't available. We got our beverages as soon as we ordered", while we were placing our order for the food. That imbalance kinda ruined a bit of our fun. But overall, this place is beautiful ? Good ambience and I really suggest you to visit there at least once, ('Rated 5.0', 'RATED\n  A decent place which serves great food.\nTried out their? corn on the cub-corn is simmered with milk,butter and spices. A unique concept. Loved it?\n?Peri peri melted fries?too yum ?\n?Chatpata paneer tikka. Fell in love with this dish it was lipsmacking.\n?Drinks especially their cocktails are recommended.\n? Zomato gold avail one plus one on food here.\n? Friendly staff.'), ('Rated 5.0'," """"RATED\n  Stories the name of brand...visit first with my sister located jp nagar ..start with ambience .ambience is really peacefull according to the Monday it's really awsem ambience rating 5/4 .now go to drinks.ll have bira white ", ('Rated 4.0'," """"RATED\n  Had been here on a saturday evening. Easily got table in spite of being a weekend which hardly happens in Bangalore. Place looked neat"
Lassi Shop,Yes,No,3.7/5,21,Basavanagudi,Beverage Shop,,"Beverages, Juices",100,Delivery,Basavanagudi
Tanna's Kitchen,Yes,No,3.1/5,7,Kumaraswamy Layout,Quick Bites,,"Italian, Chinese, Street Food",250,Delivery,Basavanagudi
Andhra Ruchulu,Yes,Yes,4.2/5,1428,JP Nagar,Casual Dining,"Paneer Tikka, Bhuna Gosht, Andhra Meal, Chicken Biryani, Chicken Guntur, Chicken Sholey Kebab, Andhra Biryani","Andhra, North Indian",800,Delivery,Basavanagudi
HOT COFFEE,Yes,No,4.1/5,70,Basavanagudi,Quick Bites,,"South Indian, Chinese",150,Delivery,Basavanagudi
Cake Chemistry,Yes,No,NEW,0,Jayanagar,Bakery,,"Bakery, Desserts",500,Delivery,Basavanagudi
Goli Vada Pav No. 1,Yes,No,3.7/5,93,Basavanagudi,Quick Bites,"Masala Vada Pav, Cheese Vada Pav, Fries",Street Food,200,Delivery,Basavanagudi
Savoury - Sea Shell Restaurant,Yes,Yes,3.9/5,1227,Bannerghatta Road,Casual Dining,"Shawarma, Biryani, Chicken Grill, Rolls, Tomato Soup, Haleem, Sea Food","Arabian, North Indian, Chinese, Seafood, Biryani, Rolls, Beverages",900,Delivery,Basavanagudi
Rajanna Military Hotel,Yes,No,4.1/5,164,Jayanagar,Quick Bites,"Biryani, Chicken Curry, Paya Soup, Paratha, Mutton Keema, Chicken Guntur, Pepper Chicken","Biryani, Fast Food",400,Delivery,Basavanagudi
Rustic Stove,Yes,No,3.8/5,577,Jayanagar,Casual Dining,"Vegetable Biryani, Pineapple Rasam, Cheese Garlic Naan, Potato Cheese Ball, Bamboo Chicken Biryani, Chicken Skewer, Fish","North Indian, South Indian, Biryani, Beverages",900,Delivery,Basavanagudi
Cafe Zone,Yes,No,3.9/5,149,Kumaraswamy Layout,Quick Bites,,"Fast Food, Chinese, Rolls",300,Delivery,Basavanagudi
Sri Sai 99 Variety Dosa,Yes,No,3.6/5,37,Jayanagar,Quick Bites,,South Indian,300,Delivery,Basavanagudi
Hotel New Karavali,Yes,No,3.8/5,133,Banashankari,Quick Bites,,"Mangalorean, South Indian, North Indian",300,Delivery,Basavanagudi
Donne Biryani & Kabab Corner,Yes,No,3.3/5,12,Kumaraswamy Layout,Quick Bites,,"Chinese, Biryani",200,Delivery,Basavanagudi
Shawarma Inc,Yes,No,3.1/5,31,Banashankari,Takeaway,,"Rolls, Lebanese",250,Delivery,Basavanagudi
Protein Grillhouse,Yes,Yes,4.2/5,166,Jayanagar,Casual Dining,"Rice Bowl, Salads, Burgers, Prawn, Pancakes, Salmon, Fish","Healthy Food, Continental, Juices, Salad, Burger, Beverages, Desserts",800,Delivery,Basavanagudi
Pizza Mane,Yes,No,3.5/5,32,Banashankari,Quick Bites,"French Fries, Burgers","Pizza, Sandwich, Burger, Fast Food",150,Delivery,Basavanagudi
Diabetics Dezire Sugarless Sweets and Bakes,Yes,No,3.3/5,13,Basavanagudi,"Dessert Parlor, Sweet Shop",,"Desserts, Mithai",300,Delivery,Basavanagudi
Sandwichwallas,Yes,No,3.9/5,104,Jayanagar,Quick Bites,"Garlic Bread, Sandwiches, Aloo Tikki Burger, Club Sandwich, White Sauce Pasta, Garlic Rice",Fast Food,200,Delivery,Basavanagudi
Old Mumbai Ice Cream,Yes,No,3.9/5,38,Banashankari,Dessert Parlor,Friendly Staff,Ice Cream,150,Delivery,Basavanagudi
Shakes Theory,Yes,No,4.5/5,155,Jayanagar,Beverage Shop,"Sandwiches, Thick Shakes, Paan Shake, Brownie Bomb, Spinach Corn Sandwich, Peri Peri Fries, Paneer Peri Peri","Beverages, Sandwich",300,Delivery,Basavanagudi
Punjabi by Nature 2.0,Yes,Yes,4.2/5,3227,BTM,"Casual Dining, Microbrewery","Paneer Tikki, Mutton Raan, Mango Margarita, Craft Beer, Lamb, Kulcha, Kheer",North Indian,1600,,
 ('Rated 5.0', 'RATED\n  A perfect place to hang out and sit with friends, staffs ambience, food as well as the drinks all of them are too good, the price charged is worth the service.\nGuru is the best service person,one must try their dal makhani.'), ('Rated 5.0', 'RATED\n  Totally mind blowen by the ambience of this place. It might seem relatively simple from the outside but, you donÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x82ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚\x92t know what it has in store for you unless you enter the place.\nA place becomes great not only by offering good food but, service plays a huge role in it. The staff is very cooperative and courteous. They happily arranged for candle light on request and helped me in making the entire experience special. I wouldnÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x82ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚\x92t say the food is great but, iÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x82ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚\x92d suggest one should sit by the mini waterfall that is there, with a glass of beer that is freshly brewed in their in house brewery and
Peace Restaurant,Yes,No,2.8/5,109,Shanti Nagar,Casual Dining,"Thukpa, Hakka Noodles","Chinese, Tibetan",500,Delivery,Basavanagudi
Bhojohori Manna,Yes,No,3.7/5,662,JP Nagar,Casual Dining,"Fish, Kosha Mangsho, Mishti Doi, Aam Panna, Prawn, Nolen Gurer Ice Cream, Luchi","Bengali, Mughlai",650,Delivery,Basavanagudi
Pin Me Down,Yes,Yes,4.5/5,784,BTM,Casual Dining,"Paneer Tikka, Chowmein, Pizza, Mocktails, Tandoori Aloo, Pasta Alfredo, Murgh Patiala","Continental, Mexican, Chinese, North Indian",800,,
 it was water I would say. Their Rajasthani tokri was nice and tandoori paneer also. But overall food was bad.\nI'm giving 2 star to them coz, they gave us the private space where all our friends could play the music of our own Choice and dance without any disturbance. But if you're looking from a good perspective," it Wasn't great."""")", ('Rated 4.0', 'RATED\n  A friendly musical environment with the sporty ambience. Pizza is delightful. They should work on their indian dishes. Also the place is apt for hookah lovers. Try it once as it will not dwell deep into your pocket. They should improve somewhat on their service also. Rest everything was amazing.')," """"RATED\n  I had this restaurant on my bucket list for a while because its a fancy looking one.\nI was pretty excited to be here because of the ambience from the outside.\nComing to the food", it's mostly indian preparations with a little twist for most of the dishes.\nI ordered the chicken taka tak pizza which is basically a basic Margherita topped with succulent pieces of indian style chicken tikkas.\nThe cheese however cooled down really quick and became rubbery which was a little disappointing.\nNext was the Keema pav," delicious minced mutton and 5 PC's of bread brushed with butter."""")", ('Rated 5.0', 'RATED\n  Bakasura, north indian all at one place.\nFood is good, Its a gold outlet
Swathi Deluxe Restaurant,Yes,No,3.0/5,73,Shanti Nagar,Casual Dining,"Biryani, Chicken Kebab, Andhra Meal, Lime Soda",North Indian,500,Delivery,Basavanagudi
Ishta Cafe,Yes,No,3.9/5,40,Jayanagar,Quick Bites,,"Pizza, South Indian, Healthy Food",500,Delivery,Basavanagudi
Bikaner Jn,Yes,No,3.9/5,85,JP Nagar,Quick Bites,"Thali, Dhokla, Samosa, Poha, Club Kachori, Paratha, Tea",Rajasthani,300,Delivery,Basavanagudi
Chilli Flakes,Yes,No,3.6/5,46,Banashankari,Quick Bites,,"Fast Food, Italian, Beverages",500,Delivery,Basavanagudi
Chetty's Corner,Yes,No,3.6/5,21,Jayanagar,Quick Bites,,"Fast Food, Burger",150,Delivery,Basavanagudi
Pathaan Sir,Yes,No,3.2/5,33,Bannerghatta Road,Quick Bites,,"Fast Food, Rolls, Momos",250,Delivery,Basavanagudi
Cake Ghar,Yes,No,3.8/5,15,Basavanagudi,Bakery,,Bakery,400,Delivery,Basavanagudi
Cakewala,Yes,No,4.3/5,659,Jayanagar,Dessert Parlor,"Khara Bun, Mousse, Veg Puff, Rich Chocolate Cake, Fruit Cake, Chocolate Truffle, Rolls","Bakery, Desserts",500,Delivery,Basavanagudi
The Belgian Waffle Co.,Yes,No,3.8/5,152,Jayanagar,Dessert Parlor,Waffles,"Desserts, Beverages",350,Delivery,Basavanagudi
Mystique Palate,Yes,No,4.1/5,337,Jayanagar,Quick Bites,"Noodles, Pasta, Schezwan Momos, Chicken Momo, Teriyaki Chicken, Thukpa, Fries","Chinese, Fast Food",300,Delivery,Basavanagudi
Cake Paradise,Yes,No,,0,Jayanagar,Bakery,,"Bakery, Desserts",350,Delivery,Basavanagudi
UP Style North Indian Food,Yes,No,3.6/5,46,Jayanagar,"Takeaway, Delivery",,North Indian,100,Delivery,Basavanagudi
Namma Biryani,Yes,No,3.6/5,24,Banashankari,Quick Bites,,"Biryani, Chinese, North Indian",250,Delivery,Basavanagudi
Cool Corner,Yes,No,4.2/5,191,Basavanagudi,Quick Bites,"Masala Dosa, Sandwiches, Coffee, Onion Dosa, Rava Dosa, Chaat, Sandwich","Street Food, Fast Food",250,Delivery,Basavanagudi
Wat-a-Burger!,Yes,No,4.0/5,108,Jayanagar,Quick Bites,"Burgers, Tea, Ferrero Rocher, Sandwich, French Fries","Burger, Sandwich, Beverages",500,Delivery,Basavanagudi
Right Pizza,Yes,No,NEW,0,Basavanagudi,Quick Bites,,Pizza,300,Delivery,Basavanagudi
Roll Over,Yes,No,4.1/5,438,Jayanagar,Dessert Parlor,"Rolls, Ice Cream Roll, Paan Ice Cream, Coffee, Vanilla Ice Cream, Chocolate Icecreams, Mississippi Mudpie","Desserts, Ice Cream, Beverages, Fast Food, Sandwich",500,Delivery,Basavanagudi
Sri Sai Cafe,Yes,No,3.5/5,10,Basavanagudi,Quick Bites,,South Indian,200,Delivery,Basavanagudi
Cake Yard,Yes,No,3.3/5,9,Basavanagudi,Dessert Parlor,,Desserts,250,Delivery,Basavanagudi
Classic Shop,Yes,No,3.7/5,11,BTM,Beverage Shop,,"Beverages, Juices",150,Delivery,Basavanagudi
Rajastani Rasoi,Yes,No,,0,Basavanagudi,Quick Bites,,North Indian,100,Delivery,Basavanagudi
Food And You,Yes,No,3.9/5,33,BTM,Quick Bites,,"North Indian, South Indian, Gujarati",350,Delivery,Basavanagudi
Iyengar Bakery,Yes,No,3.6/5,27,Jayanagar,"Bakery, Quick Bites",,"Bakery, Fast Food, Desserts, Beverages",200,Delivery,Basavanagudi
All Aromas,Yes,No,NEW,0,Jayanagar,Quick Bites,,"North Indian, Biryani",400,Delivery,Basavanagudi
Inchara Restaurant,Yes,No,,0,Basavanagudi,Quick Bites,,"North Indian, Chinese",300,Delivery,Basavanagudi
Vakulaa Veg Restaurant,Yes,No,3.9/5,49,Jayanagar,Quick Bites,"Masala Dosa, Coffee, Pongal, Tea, Bonda","South Indian, North Indian",200,Delivery,Basavanagudi
Paradise Premium,Yes,No,3.1/5,119,Banashankari,Casual Dining,,"Biryani, Andhra, Hyderabadi, North Indian",700,Delivery,Basavanagudi
Ande Ka Funda,Yes,No,3.8/5,120,Banashankari,Quick Bites,,"North Indian, Fast Food, Rolls",250,Delivery,Basavanagudi
McDonald's,Yes,No,3.6/5,276,Basavanagudi,Quick Bites,"Burgers, Fries, Schezwan Burger, Maharaja Mac","Burger, Fast Food",500,Delivery,Basavanagudi
Malabar Bay,Yes,Yes,4.2/5,1539,BTM,Casual Dining,"Panneer Butter Masala, Chicken Tikka, Mutton Curry, Paneer Tikka, Appam, Roast Chicken, Kerala Parotta","Kerala, Seafood, Chinese, Biryani, Juices",800,Delivery,Basavanagudi
Sahana's (Nati Style),Yes,No,3.7/5,47,Wilson Garden,Quick Bites,,North Indian,350,Delivery,Basavanagudi
Eurasia Pasta and Barbeque by Little Italy,Yes,Yes,4.1/5,1063,Jayanagar,"Casual Dining, Bar","Pasta, Pizza, Nachos, Gelato, Ravioli, Jalapeno Poppers, Cocktails","Italian, Fast Food, Salad, BBQ",1200,Delivery,Basavanagudi
Cafe Coffee Day,Yes,No,3.4/5,15,Banashankari,Cafe,,"Cafe, Fast Food",900,Delivery,Basavanagudi
Turkish Shawarma,Yes,No,3.6/5,21,BTM,"Takeaway, Delivery",,Rolls,200,Delivery,Basavanagudi
Donne Biriyani combos,Yes,No,,0,Kumaraswamy Layout,Casual Dining,,Biryani,400,Delivery,Basavanagudi
Swadd Kitchen,Yes,No,3.4/5,4,Basavanagudi,Casual Dining,,"North Indian, Fast Food",500,Delivery,Basavanagudi
Canton,Yes,No,3.6/5,195,Jayanagar,Casual Dining,"Roast Pork, Tai Pai Chicken, Beer, Sweet Corn Chicken Soup, Masala Peanuts, Chinese Chop Suey, Chicken Lollipop","Chinese, Seafood, Biryani",800,Delivery,Basavanagudi
Pure & Natural,Yes,No,3.9/5,211,Jayanagar,Casual Dining,"Salads, Sandwiches, Pasta, Mocktails, Corn Sandwich, Garden Salad, Miso Salad","Fast Food, Continental, Beverages, Salad, Healthy Food",500,Delivery,Basavanagudi
Stoned Monkey,Yes,No,4.3/5,860,Banashankari,Dessert Parlor,"Nachos, Cup Cake, Hot Chocolate Fudge, Salsa, Cheesy Garlic Bread, Waffles, Tiramisu","Desserts, Ice Cream",500,Delivery,Basavanagudi
Cravy Wings,Yes,No,4.2/5,289,Bannerghatta Road,Quick Bites,"Burgers, Chicken Popcorn, Peri Peri Chicken, Wings, Peri Peri Burger, Fries, Crunchy Veg Burger","American, Burger, Fast Food",400,Delivery,Basavanagudi
Dakshin Grand,Yes,No,3.0/5,82,Banashankari,Quick Bites,,"South Indian, North Indian, Chinese, Street Food",300,Delivery,Basavanagudi
The Samosa Co,Yes,No,,0,Jayanagar,Quick Bites,,"Fast Food, Mithai",200,Delivery,Basavanagudi
Frozen Bottle,Yes,No,4.2/5,146,Banashankari,Beverage Shop,"Berryblast, Waffles, Cheesecake, Salted Caramel","Beverages, Desserts, Ice Cream",400,Delivery,Basavanagudi
Soup Station,Yes,No,3.6/5,10,Bannerghatta Road,Quick Bites,,Continental,250,Delivery,Basavanagudi
Ambur Biryani,Yes,No,,0,Koramangala 8th Block,Quick Bites,,Biryani,200,Delivery,Basavanagudi
Pancuzzi,Yes,No,4.2/5,169,JP Nagar,Cafe,"Waffles, Burgers, Masala Fries, Crunchy Veg Burger, Tiramisu, Chocolate Pancakes, Oreo Shake","Cafe, Beverages, Desserts",600,Delivery,Basavanagudi
Meat And Eat,Yes,No,3.1/5,10,Banashankari,Quick Bites,,"Fast Food, Burger",500,Delivery,Basavanagudi
Asha Sweets Centre,Yes,No,3.6/5,27,Basavanagudi,Dessert Parlor,,Fast Food,250,Delivery,Basavanagudi
Ross Kitchen,Yes,No,3.6/5,21,BTM,Delivery,,Chinese,400,Delivery,Basavanagudi
Sandwich Hub,Yes,No,3.4/5,12,Jayanagar,Quick Bites,,"Fast Food, Sandwich",300,Delivery,Basavanagudi
